GeneSymbol,Description,NormalizedCounts m01 ,NormalizedCounts m02,NormalizedCounts m03,NormalizedCounts m04,NormalizedCounts m05,NormalizedCounts m06,NormalizedCounts m07,NormalizedCounts m08,NormalizedCounts m09,NormalizedCounts m10,NormalizedCounts v01,NormalizedCounts v02,NormalizedCounts v03,NormalizedCounts v04,NormalizedCounts v05,NormalizedCounts v06,NormalizedCounts v07,NormalizedCounts v08,NormalizedCounts v09,NormalizedCounts v10
PLAG1,PLAG1 zinc finger,217.12,239.33,468.12,274.04,186.94,207.38,172.48,204.36,181.50,184.66,213.15,258.51,492.96,222.28,254.65,234.23,180.24,220.46,193.92,287.84
PLAGL1,PLAG1 like zinc finger 1,77.61,40.78,48.61,94.27,79.50,66.80,125.89,78.24,124.52,98.27,86.81,53.60,25.95,56.34,39.82,88.13,113.67,70.40,77.33,84.96
PLAGL2,PLAG1 like zinc finger 2,310.46,265.08,331.28,322.27,319.44,427.71,367.04,291.95,405.21,331.53,281.05,254.18,353.68,293.98,257.43,336.27,284.71,260.29,330.74,410.95
PLAT,"plasminogen activator, tissue type",44.21,37.56,34.21,36.17,59.45,67.80,86.65,22.19,46.43,52.91,51.57,76.08,21.85,35.85,39.82,46.38,67.12,25.94,36.88,39.88
PLAU,"plasminogen activator, urokinase",1.96,2.15,2.70,2.19,11.46,10.97,18.80,15.18,20.05,7.56,4.30,6.05,4.10,3.07,6.48,9.28,3.79,2.78,17.85,0.00
PLAUR,"plasminogen activator, urokinase receptor",17.68,31.12,18.00,12.06,32.95,27.92,41.69,28.03,25.33,17.28,9.45,14.70,10.92,27.66,23.15,32.47,20.57,20.38,19.04,5.20
PLB1,phospholipase B1,15.72,33.27,27.91,10.96,15.04,19.94,32.70,2.34,12.66,19.44,13.75,31.12,28.68,14.34,9.26,22.03,20.03,3.71,7.14,13.87
PLBD1,phospholipase B domain containing 1,42.25,32.20,46.81,40.56,37.24,18.94,19.62,63.06,35.88,29.16,50.71,25.94,46.43,20.49,31.48,42.90,29.77,50.02,48.78,88.43
PLBD2,phospholipase B domain containing 2,198.46,95.52,192.65,169.90,136.09,204.38,146.33,119.12,202.61,161.98,123.76,138.33,241.70,223.30,111.12,137.99,140.73,110.23,138.01,244.49
PLCB1,phospholipase C beta 1,87.44,114.83,111.63,89.88,164.02,175.47,30.25,117.95,128.74,60.47,61.88,139.20,83.30,159.79,159.27,143.78,75.24,174.14,143.96,58.95
PLCB2,phospholipase C beta 2,1990.46,1908.18,1832.86,2033.34,2435.21,1794.60,2263.54,1919.86,1991.24,1840.13,2086.79,1869.20,1967.76,2439.93,2658.54,1812.38,2077.92,1961.89,2171.23,1886.54
PLCB3,phospholipase C beta 3,246.60,225.38,210.65,223.61,295.09,270.19,295.10,200.86,213.16,164.14,227.76,216.14,162.50,237.64,276.87,216.84,189.98,163.95,207.01,152.59
PLCB4,phospholipase C beta 4,0.00,3.22,3.60,0.00,0.00,0.00,0.00,0.00,0.00,1.08,0.00,6.92,1.37,0.00,0.00,0.00,0.00,0.00,0.00,3.47
PLCD1,phospholipase C delta 1,503.02,590.27,445.61,529.44,724.12,650.04,501.10,624.77,567.72,450.31,478.72,606.06,408.30,661.71,850.07,560.06,453.04,664.15,568.68,426.55
PLCD3,phospholipase C delta 3,34.39,37.56,37.81,30.69,37.24,23.93,25.34,30.36,37.99,22.68,27.50,55.33,31.41,48.14,48.15,39.42,36.26,35.20,19.04,26.01
PLCD4,phospholipase C delta 4,100.21,105.18,125.13,99.75,102.42,94.71,59.67,79.41,88.64,60.47,84.23,76.95,139.29,92.19,108.34,124.07,52.50,75.96,70.19,142.18
PLCE1,phospholipase C epsilon 1,118.88,113.76,156.64,143.59,95.98,95.71,95.64,138.97,149.84,141.47,134.94,93.37,127.00,108.58,88.90,162.34,156.97,170.44,142.77,176.86
PLCG1,phospholipase C gamma 1,4462.32,4207.01,4245.46,3676.46,4653.40,4445.61,4086.47,4274.14,4052.13,4334.68,4618.79,3989.13,4181.31,4390.23,4957.80,3983.07,4125.54,4219.27,4140.21,4135.48
PLCG2,phospholipase C gamma 2,1586.67,2419.03,4705.48,1795.48,2698.07,3088.70,2130.30,4034.75,5583.29,5400.54,2470.12,1857.10,5408.94,2741.08,3365.08,3093.69,1927.45,2988.23,5116.97,4679.94
PLCH1,phospholipase C eta 1,6.88,3.22,3.60,0.00,2.86,0.00,3.27,2.34,5.28,6.48,0.00,0.86,4.10,0.00,1.85,2.32,1.62,0.93,1.19,1.73
PLCL1,phospholipase C like 1 (inactive),1237.89,1214.88,1362.04,1327.43,964.77,794.61,882.86,1068.54,773.49,1426.54,1284.05,1364.29,1519.86,1309.08,949.15,876.62,1039.77,1182.88,785.21,1492.93
PLCL2,phospholipase C like 2,1829.33,1655.97,2055.21,1652.98,1684.59,1705.86,1442.00,1882.49,1577.59,1667.35,1830.67,1796.58,2187.61,1582.57,1677.91,1759.04,1514.46,1851.66,1620.39,1718.35
PLCXD1,phosphatidylinositol specific phospholipase C X domain containing 1,199.44,252.21,356.49,295.96,290.08,301.09,208.45,251.08,217.38,252.69,217.45,270.61,334.56,363.63,343.55,296.85,233.83,291.78,231.99,293.04
PLCXD2,phosphatidylinositol specific phospholipase C X domain containing 2,304.56,226.45,265.57,175.38,131.79,202.39,94.01,120.28,118.19,114.47,356.68,280.99,296.32,204.86,117.60,201.76,98.51,122.27,120.16,135.25
PLD1,phospholipase D1,102.18,45.08,28.81,63.58,100.27,38.88,153.68,30.36,97.08,85.31,103.14,54.47,15.02,21.51,84.27,32.47,123.95,20.38,69.00,57.22
PLD2,phospholipase D2,218.11,193.18,115.23,184.15,214.16,260.22,228.07,226.55,161.45,165.22,194.24,162.54,152.94,180.28,207.42,176.25,187.82,229.72,154.66,149.12
PLD3,phospholipase D family member 3,703.44,742.67,720.18,744.28,735.58,784.64,796.20,762.57,639.48,633.90,674.68,664.86,599.48,936.23,768.58,742.11,627.33,708.62,650.77,572.20
PLD4,phospholipase D family member 4,0.00,1.07,4.50,3.29,0.00,4.98,1.63,3.50,2.11,3.24,1.72,1.73,1.37,1.02,0.00,2.32,2.17,3.71,3.57,12.14
PLD6,phospholipase D family member 6,344.84,256.50,257.46,326.65,237.79,251.24,198.64,265.09,297.58,349.88,276.75,255.05,270.38,320.61,305.58,259.74,206.76,240.84,236.75,371.07
PLEC,plectin,8835.23,9280.10,11757.84,8919.30,13983.83,10090.62,7961.23,10040.74,8706.81,12490.02,8367.80,8375.97,9960.32,11163.03,12774.16,8235.16,7199.93,11526.81,9559.37,14019.02
PLEK,pleckstrin,190.60,160.98,116.13,137.02,320.87,340.97,50.68,163.49,249.04,73.43,141.81,145.25,96.95,145.45,341.69,325.83,70.91,146.35,277.20,48.55
PLEK2,pleckstrin 2,23.58,19.32,24.31,21.92,20.77,15.95,26.16,19.85,23.22,10.80,18.91,20.75,21.85,33.80,34.26,19.71,12.99,35.20,20.23,20.81
PLEKHA1,pleckstrin homology domain containing A1,1246.74,1235.27,1726.63,1349.35,1047.86,962.10,692.39,1076.71,1079.51,1024.82,1205.84,1286.48,2044.23,1279.38,1146.39,1160.71,1039.23,1229.19,1198.04,1647.26
PLEKHA2,pleckstrin homology domain containing A2,1172.07,1132.24,874.12,1229.87,1251.98,1414.74,1827.02,1059.19,1263.13,1360.66,1205.84,1149.88,759.25,1168.75,1125.09,1239.56,1655.74,1085.62,1340.81,1349.02
PLEKHA3,pleckstrin homology domain containing A3,539.37,501.19,620.26,563.42,451.23,566.29,444.70,516.17,487.52,383.36,519.98,545.54,640.44,464.02,477.82,553.11,568.33,534.47,492.54,681.44
PLEKHA4,pleckstrin homology domain containing A4,30.46,30.05,24.31,17.54,25.07,20.94,30.25,39.71,16.88,15.12,24.07,29.40,25.95,24.58,20.37,13.91,26.52,28.72,20.23,10.40
PLEKHA5,pleckstrin homology domain containing A5,111.02,166.35,91.82,108.52,236.36,153.54,156.95,113.28,147.73,51.83,135.80,146.11,80.57,96.29,212.98,173.93,146.14,176.92,123.73,81.50
PLEKHA6,pleckstrin homology domain containing A6,11.79,6.44,23.41,5.48,0.00,6.98,8.99,5.84,10.55,7.56,9.45,4.32,13.66,11.27,11.11,4.64,14.07,8.34,7.14,6.94
PLEKHA7,pleckstrin homology domain containing A7,27.51,50.44,43.21,31.79,80.22,47.86,53.95,67.73,91.81,58.31,12.03,71.76,19.12,20.49,112.97,40.58,31.93,79.66,77.33,74.56
PLEKHA8,pleckstrin homology domain containing A8,108.07,81.56,107.13,112.90,121.76,113.66,88.29,107.44,129.79,63.71,109.15,98.56,125.63,86.04,113.90,88.13,84.98,122.27,86.85,104.04
PLEKHB1,pleckstrin homology domain containing B1,637.61,499.05,680.57,506.42,287.21,482.55,310.63,527.85,395.72,474.07,610.22,499.72,624.06,602.30,381.51,468.46,358.32,547.44,508.01,542.73
PLEKHB2,pleckstrin homology domain containing B2,987.37,895.06,908.33,968.99,885.99,886.33,1153.43,949.42,1024.64,1046.41,988.39,954.49,813.87,804.09,913.96,1004.17,1106.89,982.80,988.65,934.60
PLEKHD1,pleckstrin homology and coiled-coil domain containing D1,15.72,12.88,23.41,5.48,11.46,7.98,6.54,15.18,8.44,14.04,12.89,14.70,8.19,7.17,14.82,6.96,3.25,6.48,3.57,13.87
PLEKHF1,pleckstrin homology and FYVE domain containing 1,431.30,486.17,357.39,302.54,589.46,563.30,440.61,383.04,440.04,382.28,410.83,477.24,312.71,427.14,481.52,426.72,403.79,401.09,496.11,286.10
PLEKHF2,pleckstrin homology and FYVE domain containing 2,238.74,282.26,260.17,321.17,297.95,253.24,234.61,290.78,240.60,312.09,269.01,364.85,297.69,318.56,320.40,307.28,244.65,270.48,241.51,282.63
PLEKHG1,pleckstrin homology and RhoGEF domain containing G1,60.91,85.86,59.41,75.63,156.86,44.86,106.27,54.89,193.11,131.75,41.25,75.22,47.79,37.90,140.75,55.66,75.78,59.28,184.41,62.42
PLEKHG2,pleckstrin homology and RhoGEF domain containing G2,695.58,567.73,615.75,622.61,542.91,751.74,721.82,435.59,539.23,616.62,739.14,628.54,614.50,686.29,498.19,676.02,562.38,424.24,518.72,648.50
PLEKHG3,pleckstrin homology and RhoGEF domain containing G3,515.79,661.10,342.09,442.84,934.69,665.99,415.27,484.64,604.65,284.01,556.94,606.93,255.36,563.38,891.74,591.37,363.73,541.88,776.88,449.09
PLEKHG4,pleckstrin homology and RhoGEF domain containing G4,555.09,668.61,638.26,652.20,549.35,500.49,425.90,680.83,382.00,852.03,605.07,619.90,632.25,867.60,695.43,493.97,404.87,686.38,436.63,690.11
PLEKHG4B,pleckstrin homology and RhoGEF domain containing G4B,10.81,10.73,14.40,12.06,5.01,6.98,1.63,5.84,4.22,6.48,2.58,10.37,4.10,7.17,4.63,5.80,2.71,7.41,8.33,17.34
PLEKHG5,pleckstrin homology and RhoGEF domain containing G5,143.44,182.45,67.52,90.98,132.50,128.61,98.10,136.63,141.40,82.07,151.27,200.58,88.76,133.16,177.79,115.96,100.68,176.92,147.52,105.77
PLEKHG6,pleckstrin homology and RhoGEF domain containing G6,63.86,30.05,63.02,18.63,54.43,48.85,46.60,56.05,83.36,53.99,38.68,31.99,64.18,39.95,51.86,60.30,43.84,73.18,66.62,69.36
PLEKHG7,pleckstrin homology and RhoGEF domain containing G7,7.86,23.61,23.41,24.12,18.62,8.97,5.72,12.85,14.77,14.04,11.17,20.75,51.89,13.32,12.96,13.91,18.94,21.30,9.52,34.68
PLEKHH1,"pleckstrin homology, MyTH4 and FERM domain containing H1",52.07,53.66,50.41,42.75,37.96,34.89,32.70,39.71,42.21,28.08,53.29,47.55,65.55,43.02,37.04,26.67,49.26,40.76,46.40,67.62
PLEKHH2,"pleckstrin homology, MyTH4 and FERM domain containing H2",21.61,61.17,40.51,39.46,58.02,24.92,48.23,42.04,58.04,16.20,30.08,41.50,49.16,71.70,66.67,22.03,55.75,62.99,48.78,27.74
PLEKHH3,"pleckstrin homology, MyTH4 and FERM domain containing H3",6.88,2.15,8.10,4.38,3.58,11.96,8.99,3.50,5.28,8.64,3.44,5.19,2.73,2.05,12.96,5.80,5.95,3.71,8.33,8.67
PLEKHJ1,pleckstrin homology domain containing J1,414.60,516.22,415.00,424.21,482.74,503.48,530.53,460.11,462.20,474.07,388.48,485.89,352.31,524.45,485.22,420.92,408.66,422.39,492.54,436.96
PLEKHM1,pleckstrin homology and RUN domain containing M1,634.67,574.17,634.66,657.68,689.74,676.96,644.16,581.56,629.98,630.66,548.34,603.47,695.06,751.85,646.35,644.71,616.50,624.32,710.26,731.73
PLEKHM2,pleckstrin homology and RUN domain containing M2,1039.44,1013.12,992.05,993.10,924.66,996.00,934.35,949.42,952.88,1046.41,1007.30,1074.66,823.43,1129.82,1015.82,961.27,824.89,907.77,923.22,917.26
PLEKHM3,pleckstrin homology domain containing M3,290.81,220.01,286.27,299.25,263.58,247.26,197.82,248.74,294.41,242.98,263.00,255.91,349.58,301.15,247.24,279.45,213.80,283.45,283.15,362.40
PLEKHN1,pleckstrin homology domain containing N1,32.42,36.49,10.80,20.83,42.26,34.89,44.96,21.02,24.27,20.52,36.96,20.75,16.39,26.63,44.45,28.99,43.30,26.86,35.69,19.07
PLEKHO1,pleckstrin homology domain containing O1,786.95,854.28,648.16,738.80,948.30,955.12,805.20,762.57,635.26,758.08,667.81,757.36,452.00,888.09,1048.23,846.47,632.74,793.83,703.12,535.79
PLEKHO2,pleckstrin homology domain containing O2,548.21,416.41,315.98,468.05,2258.30,668.99,713.64,458.94,594.10,467.59,459.82,352.75,279.94,485.53,2264.99,606.45,578.61,482.60,535.37,384.94
PLEKHS1,pleckstrin homology domain containing S1,0.98,3.22,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.54,0.00,2.38,3.47
PLG,plasminogen,0.98,0.00,0.00,0.00,1.43,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.54,0.00,0.00,0.00
PLGLB1,plasminogen-like B1,96.28,105.18,111.63,169.90,100.27,114.65,113.63,77.07,73.87,88.55,109.15,106.34,122.90,149.55,103.71,98.56,122.33,94.48,84.47,150.85
PLGLB2,plasminogen-like B2,20.63,22.54,14.40,19.73,20.77,14.95,26.98,10.51,21.10,9.72,16.33,16.43,24.58,19.46,20.37,13.91,30.85,8.34,16.66,19.07
PLGRKT,plasminogen receptor with a C-terminal lysine,98.25,138.44,110.73,83.31,106.72,106.68,157.77,134.30,113.97,163.06,112.59,123.63,111.98,125.99,100.93,120.59,133.69,141.72,107.07,65.89
PLIN1,perilipin 1,6.88,9.66,11.70,9.87,15.76,5.98,1.63,3.50,5.28,0.00,5.16,7.78,10.92,13.32,14.82,13.91,4.33,10.19,10.71,3.47
PLIN2,perilipin 2,650.39,753.40,542.84,746.47,848.03,968.08,1163.24,727.54,705.96,697.61,590.46,663.99,386.45,717.02,829.70,824.44,858.45,658.60,718.59,371.07
PLIN3,perilipin 3,213.19,204.98,151.24,172.09,175.48,190.43,336.79,171.67,202.61,279.69,185.65,238.62,122.90,173.11,145.38,185.53,219.75,168.59,192.73,190.73
PLIN4,perilipin 4,125.75,141.66,117.93,121.67,90.96,102.69,97.28,174.00,85.47,102.59,111.73,135.74,133.82,132.14,91.67,129.87,87.14,158.40,83.28,175.13
PLIN5,perilipin 5,6.88,7.51,4.50,6.58,8.59,4.98,5.72,7.01,7.39,8.64,5.16,11.24,8.19,5.12,8.33,5.80,3.79,7.41,4.76,5.20
PLK1,polo like kinase 1,22.60,46.15,18.90,63.58,98.12,73.78,209.27,63.06,108.69,170.62,28.36,41.50,30.04,55.31,61.12,62.62,114.21,51.87,93.99,64.16
PLK2,polo like kinase 2,34.39,45.08,26.11,37.27,19.34,23.93,14.71,14.01,9.50,21.60,37.82,68.30,50.53,25.61,22.22,32.47,12.45,10.19,16.66,19.07
PLK3,polo like kinase 3,1036.49,2158.24,1204.50,1047.91,1288.51,1201.38,1003.84,949.42,985.60,963.26,978.94,2154.51,1209.88,1355.17,1332.51,1108.53,949.92,964.27,976.76,903.39
PLK4,polo like kinase 4,87.44,79.42,57.61,94.27,101.71,121.63,222.35,75.91,116.08,170.62,72.20,81.27,43.70,72.73,67.60,93.92,146.68,53.73,85.66,83.23
PLK5,polo like kinase 5,2.95,3.22,2.70,1.10,2.15,0.00,0.00,0.00,1.06,1.08,0.86,0.00,2.73,1.02,1.85,0.00,2.71,0.00,1.19,0.00
PLLP,plasmolipin,42.25,46.15,61.22,77.83,36.53,42.87,26.16,75.91,36.93,92.87,43.83,37.18,66.91,71.70,59.26,49.86,35.18,81.51,52.35,71.09
PLN,phospholamban,131.65,150.25,163.84,95.36,95.98,102.69,82.56,98.10,106.58,117.71,140.95,142.65,195.27,125.99,100.93,113.64,108.79,124.12,85.66,180.33
PLOD1,"procollagen-lysine,2-oxoglutarate 5-dioxygenase 1",60.91,65.47,58.51,95.36,104.57,73.78,120.98,59.56,87.59,58.31,49.85,57.93,64.18,60.43,81.49,76.53,96.89,37.05,77.33,31.21
PLOD2,"procollagen-lysine,2-oxoglutarate 5-dioxygenase 2",0.00,1.07,0.00,0.00,0.72,1.00,0.00,0.00,1.06,0.00,1.72,0.00,0.00,0.00,0.00,0.00,2.17,0.00,2.38,0.00
PLOD3,"procollagen-lysine,2-oxoglutarate 5-dioxygenase 3",280.00,362.75,279.07,293.77,394.65,369.89,325.35,349.17,318.68,209.50,248.39,290.50,256.72,404.61,387.07,293.37,273.88,338.10,285.53,206.34
PLP1,proteolipid protein 1,3.93,2.15,2.70,8.77,5.73,1.00,3.27,0.00,1.06,4.32,3.44,0.86,9.56,0.00,0.93,11.60,4.87,2.78,4.76,3.47
PLP2,proteolipid protein 2,305.54,430.36,250.26,522.86,616.68,466.60,84.20,362.02,512.85,410.36,287.92,449.58,217.12,471.19,550.04,440.63,72.53,405.72,567.49,310.38
PLRG1,pleiotropic regulator 1,626.81,587.05,592.35,579.86,610.95,554.33,690.75,683.16,701.74,685.73,644.60,528.25,540.76,572.59,661.16,649.35,725.30,606.72,631.74,528.86
PLS1,plastin 1,47.16,42.93,64.82,61.38,50.85,50.85,31.88,43.21,32.71,25.92,63.60,70.89,46.43,51.22,56.49,48.70,40.05,43.54,30.93,36.41
PLS3,plastin 3,4.91,9.66,3.60,2.19,8.59,4.98,34.33,16.35,8.44,25.92,9.45,5.19,4.10,0.00,3.70,2.32,32.48,10.19,21.41,5.20
PLSCR1,phospholipid scramblase 1,163.09,92.30,81.92,92.08,105.29,141.57,129.16,158.82,149.84,168.46,199.40,103.75,69.64,64.53,104.64,149.58,132.61,113.01,117.78,114.44
PLSCR2,phospholipid scramblase 2,2.95,3.22,6.30,0.00,5.73,1.99,5.72,2.34,2.11,4.32,11.17,4.32,5.46,5.12,1.85,5.80,7.58,12.04,5.95,8.67
PLSCR4,phospholipid scramblase 4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.86,0.00,0.00,0.00,0.00,0.00,0.00,3.71,1.19,0.00
PLTP,phospholipid transfer protein,84.49,57.95,32.41,41.65,43.69,71.78,123.44,52.55,66.48,56.15,66.18,46.69,32.77,59.41,53.71,49.86,101.76,54.65,80.90,55.49
PLVAP,plasmalemma vesicle associated protein,0.00,0.00,4.50,1.10,1.43,0.00,2.45,0.00,3.17,0.00,0.86,0.00,5.46,0.00,0.00,2.32,0.54,0.93,3.57,1.73
PLXDC1,plexin domain containing 1,191.58,683.64,785.90,1024.89,485.61,297.11,483.94,711.19,313.41,993.50,200.26,607.79,916.28,939.30,488.00,434.83,586.73,923.52,324.79,866.98
PLXDC2,plexin domain containing 2,3.93,1.07,0.00,4.38,2.15,9.97,2.45,1.17,3.17,3.24,0.86,2.59,1.37,5.12,6.48,5.80,3.79,4.63,4.76,1.73
PLXNA1,plexin A1,710.32,676.13,597.75,663.17,712.66,638.08,358.86,694.84,558.22,380.12,650.62,685.61,604.94,907.55,793.58,613.40,293.91,657.67,555.60,487.24
PLXNA2,plexin A2,26.53,35.42,7.20,21.92,32.23,27.92,17.17,58.39,24.27,4.32,22.35,31.12,12.29,19.46,17.59,9.28,12.45,35.20,29.74,8.67
PLXNA3,plexin A3,831.16,813.50,821.01,852.80,1024.94,1017.93,789.66,745.06,745.00,649.01,764.93,810.10,846.64,1144.16,1021.38,954.31,679.83,758.64,722.16,795.88
PLXNA4,plexin A4,58.95,17.17,54.01,64.67,30.08,10.97,25.34,3.50,7.39,46.44,56.73,14.70,55.99,45.07,26.85,10.44,17.32,6.48,10.71,65.89
PLXNB1,plexin B1,37.33,60.10,50.41,43.85,84.52,67.80,52.32,28.03,37.99,37.80,63.60,45.82,34.14,55.31,60.19,34.79,30.31,37.98,41.64,43.35
PLXNB2,plexin B2,56.98,39.71,14.40,64.67,67.33,79.76,212.54,40.87,156.18,106.91,41.25,53.60,9.56,57.36,57.41,91.60,175.91,39.83,89.23,71.09
PLXNB3,plexin B3,15.72,25.76,31.51,15.35,7.88,29.91,11.44,9.34,18.99,22.68,30.94,21.61,40.97,4.10,11.11,13.91,9.20,6.48,11.90,19.07
PLXNC1,plexin C1,616.00,525.88,415.90,541.49,759.93,757.72,635.98,615.43,808.32,522.67,694.45,454.76,456.09,499.87,695.43,760.67,725.30,706.76,736.43,542.73
PLXND1,plexin D1,457.82,668.61,332.18,568.90,1463.27,944.16,264.04,488.14,574.05,155.50,434.89,769.47,318.17,729.32,1320.47,875.46,265.76,565.97,599.62,183.80
PM20D1,peptidase M20 domain containing 1,38.32,28.98,51.31,30.69,21.49,30.91,32.70,30.36,33.77,34.56,36.96,29.40,60.08,56.34,9.26,35.95,33.56,44.46,32.12,22.54
PM20D2,peptidase M20 domain containing 2,256.42,222.16,206.15,204.98,225.61,177.47,215.81,231.22,230.04,185.74,207.99,249.00,240.34,186.43,252.80,221.47,193.23,226.94,216.53,194.20
PMAIP1,phorbol-12-myristate-13-acetate-induced protein 1,70.74,250.06,102.63,141.40,93.83,117.65,138.15,65.40,130.85,124.19,82.51,313.84,72.37,142.38,76.86,98.56,139.11,50.02,84.47,62.42
PMCH,pro-melanin concentrating hormone,34.39,62.25,34.21,62.48,45.12,63.81,58.86,26.86,35.88,89.63,29.22,74.35,27.31,35.85,55.56,48.70,47.09,12.97,42.83,26.01
PMEL,premelanosome protein,264.28,208.20,270.97,176.48,259.28,204.38,204.36,280.27,218.44,238.66,238.93,158.22,356.41,220.23,302.80,209.88,239.24,330.69,320.03,504.58
PMEPA1,"prostate transmembrane protein, androgen induced 1",141.47,151.32,104.43,100.85,86.66,103.69,87.47,96.93,74.92,132.83,110.01,153.89,81.93,86.04,94.45,107.84,81.19,133.39,74.95,98.84
PMF1,polyamine modulated factor 1,139.51,177.08,114.33,181.96,142.53,161.51,154.50,137.80,128.74,152.26,152.13,191.07,137.92,202.82,125.94,119.43,130.45,129.68,128.49,161.26
PMF1-BGLAP,PMF1-BGLAP readthrough,0.00,0.00,0.00,0.00,0.00,0.00,0.82,0.00,0.00,0.00,0.00,0.86,1.37,0.00,0.00,0.00,0.00,0.00,0.00,0.00
PMFBP1,polyamine modulated factor 1 binding protein 1,22.60,13.95,9.00,1.10,12.89,21.93,17.98,18.68,9.50,28.08,10.31,16.43,12.29,14.34,18.52,15.07,20.57,25.01,14.28,26.01
PML,promyelocytic leukemia,784.98,565.58,602.25,520.67,611.67,648.05,702.20,660.97,663.75,595.02,646.32,555.06,588.55,650.44,638.01,576.30,601.89,602.09,669.81,700.52
PMM1,phosphomannomutase 1,145.40,119.13,101.73,164.42,151.13,158.52,191.29,114.44,173.06,149.02,135.80,137.47,128.36,182.33,136.12,120.59,138.02,122.27,138.01,107.51
PMM2,phosphomannomutase 2,421.47,488.31,466.32,502.03,459.11,433.69,412.82,426.25,399.94,441.68,408.25,473.79,490.23,478.36,412.07,469.62,359.40,441.84,415.21,423.08
PMP22,peripheral myelin protein 22,0.98,0.00,0.00,0.00,1.43,0.00,6.54,2.34,4.22,4.32,4.30,0.86,0.00,0.00,0.93,1.16,6.50,2.78,0.00,0.00
PMPCA,"peptidase, mitochondrial processing alpha subunit",441.12,516.22,433.91,540.40,503.52,519.44,495.38,498.65,505.46,592.86,450.36,485.02,472.48,552.11,553.75,493.97,486.06,507.61,506.82,502.85
PMPCB,"peptidase, mitochondrial processing beta subunit",764.35,922.97,821.01,831.97,731.28,625.12,858.33,851.33,852.64,868.23,824.23,926.82,845.27,721.12,836.18,743.27,986.73,787.35,849.46,756.00
PMS1,"PMS1 homolog 1, mismatch repair system component",348.77,302.65,320.48,292.67,251.40,280.16,240.33,289.61,259.59,196.54,411.69,321.62,318.17,181.30,303.73,343.23,293.91,291.78,218.91,239.29
PMS2,"PMS1 homolog 2, mismatch repair system component",308.49,311.23,335.78,277.32,289.36,248.25,369.49,312.97,250.09,299.13,318.00,279.26,348.22,244.81,293.54,301.48,344.79,327.91,292.67,325.98
PMVK,phosphomevalonate kinase,110.04,120.20,78.32,77.83,154.71,135.59,208.45,107.44,121.35,109.07,99.70,121.90,60.08,111.65,122.23,121.75,119.62,102.82,161.80,78.03
PNCK,pregnancy up-regulated nonubiquitous CaM kinase,3.93,2.15,0.00,2.19,0.72,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.73,0.00,0.93,0.00,0.00,0.00,0.00,0.00
PNISR,PNN interacting serine and arginine rich protein,4432.84,4700.69,4541.64,5017.04,4872.57,4314.01,3838.78,5577.41,4255.79,4270.97,4908.43,4606.44,5053.90,5410.46,5312.46,4864.33,4897.38,5419.75,4919.47,4334.89
PNKD,paroxysmal nonkinesigenic dyskinesia,118.88,116.98,148.54,120.58,158.29,154.53,156.95,124.95,125.57,144.71,121.19,148.71,128.36,128.04,138.90,111.32,131.53,130.61,104.69,78.03
PNKP,polynucleotide kinase 3'-phosphatase,658.25,573.10,551.84,423.11,620.26,615.15,623.72,580.40,585.66,519.43,526.00,554.19,578.99,637.13,618.57,542.67,604.05,575.23,580.58,513.25
PNLDC1,"PARN like, ribonuclease domain containing 1",1.96,4.29,4.50,6.58,13.61,2.99,4.09,4.67,4.22,2.16,10.31,2.59,16.39,7.17,8.33,4.64,5.41,4.63,5.95,10.40
PNMA1,PNMA family member 1,382.18,367.04,338.48,378.17,444.07,449.65,406.28,437.92,484.36,366.08,304.25,404.62,331.83,454.80,590.79,435.99,349.12,421.46,498.49,280.90
PNMA2,PNMA family member 2,3.93,2.15,7.20,0.00,7.16,4.98,1.63,10.51,2.11,2.16,3.44,0.00,10.92,0.00,2.78,4.64,7.04,1.85,3.57,1.73
PNMA3,PNMA family member 3,137.54,254.35,225.96,25.21,158.29,202.39,222.35,390.04,373.56,502.15,152.99,268.02,311.35,43.02,164.83,186.69,286.33,407.57,423.54,551.40
PNMA5,PNMA family member 5,3.93,6.44,8.10,3.29,8.59,2.99,11.44,8.17,9.50,5.40,7.74,2.59,4.10,15.36,9.26,5.80,12.99,9.26,2.38,5.20
PNMA6A,PNMA family member 6A,1.96,11.81,6.30,4.38,3.58,1.00,4.90,7.01,4.22,17.28,4.30,14.70,5.46,3.07,3.70,2.32,9.74,9.26,1.19,12.14
PNMAL1,NA,8.84,0.00,0.90,6.58,0.00,2.99,0.00,0.00,3.17,0.00,13.75,0.00,0.00,3.07,0.00,8.12,0.00,0.00,2.38,0.00
PNMAL2,NA,58.95,20.39,14.40,17.54,22.20,41.87,11.44,43.21,41.15,2.16,67.90,11.24,10.92,29.71,19.45,44.06,9.20,43.54,44.02,5.20
PNMT,phenylethanolamine N-methyltransferase,4.91,3.22,3.60,2.19,0.72,2.99,4.90,4.67,3.17,5.40,4.30,5.19,5.46,1.02,1.85,3.48,4.33,3.71,0.00,3.47
